title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
Mortdecai (2015),David Koepp,5.5,48795,2015,Action,30418560,60000000,107,Johnny Depp,28,M,Olivia Munn,130,F,Ewan McGregor,141,M,Paul Bettany,1051,M,Gwyneth Paltrow,1150,F,Jeff Goldblum,1376,M
Princess Ka'iulani (2009),Marc Forby,6.1,1239,2009,Drama,883887,9000000,97,Catherine Steadman,2417,F,Tamzin Merchant,2428,F,Barry Pepper,2739,M,Julian Glover,4733,M,Q'orianka Kilcher,4887,F,Will Patton,5418,M
Unbroken (2014/I),Angelina Jolie,7.2,106636,2014,Biography,161459297,65000000,137,Finn Wittrock,264,M,Domhnall Gleeson,335,M,Jai Courtney,476,M,Garrett Hedlund,646,M,Jack O'Connell,1146,M,Luke Treadaway,1396,M
Our Brand Is Crisis (2015),David Gordon Green,6.1,13070,2015,Comedy,6998324,28000000,107,Sandra Bullock,396,F,Billy Bob Thornton,433,M,Zoe Kazan,1742,F,Anthony Mackie,2983,M,Scoot McNairy,4409,M,Ann Dowd,6816,F
Just Like Heaven (2005),Mark (VIII) Waters,6.7,83828,2005,Comedy,102854431,58000000,95,Reese Witherspoon,455,F,Mark Ruffalo,817,M,Ivana Milicevic,1309,F,Donal Logue,2574,M,Jon Heder,2711,M,Kerris Dorsey,3859,F
Die Hard with a Vengeance (1995),John McTiernan,7.6,302986,1995,Action,366101666,90000000,128,Bruce Willis,377,M,Samuel L. Jackson,581,M,Alan Rickman,591,M,Jeremy Irons,1190,M,Aldis Hodge,2322,M,Drew Nelson,3970,M
The Battle of Shaker Heights (2003),Efram Potelle,6.1,3825,2003,Comedy,279282,1000000,79,Shia LaBeouf,222,M,Amy Smart,832,F,Anson Mount,915,M,Shiri Appleby,1864,F,Elden Henson,2305,M,Kathleen Quinlan,3117,F
Into the Wild (2007),Sean (I) Penn,8.2,435809,2007,Adventure,18427795,15000000,148,Vince Vaughn,484,M,Jena Malone,496,F,Zach Galifianakis,921,M,William Hurt,1334,M,Merritt Wever,1520,F,Emile Hirsch,1549,M
Surviving Picasso (1996),James Ivory,6.4,5858,1996,Biography,2002000,16000000,125,Anthony Hopkins,266,M,Natascha McElhone,472,F,Julianne Moore,818,F,Dominic West,1314,M,Joan Plowright,6094,F,Diane Venora,6241,F
Houseguest (1995),Randall (I) Miller,5.9,4556,1995,Comedy,26325256,10500000,113,Jeffrey Jones,2249,M,Chauncey Leopardi,3692,M,Sinbad,4934,M,Phil Hartman,5765,M,Stan Shaw,6197,M,Ron Glass,7499,M
The House of the Spirits (1993),Bille August,6.9,16971,1993,Drama,6265311,25000000,146,Winona Ryder,30,F,Grace Gummer,389,F,Meryl Streep,578,F,Jeremy Irons,1190,M,Teri Polo,1289,F,Antonio Banderas,1686,M
Welcome to Sarajevo (1997),Michael Winterbottom,6.9,5942,1997,Drama,339648,9000000,103,Marisa Tomei,734,F,Woody Harrelson,943,M,Goran Visnjic,1336,M,Frank Dillane,1778,M,James Nesbitt,3463,M,Stephen Dillane,3977,M
The Good Shepherd (2006),Robert De Niro,6.7,87679,2006,Drama,99480480,90000000,167,Eddie Redmayne,64,M,Angelina Jolie,210,F,Matt Damon,268,M,Robert De Niro,300,M,Lee Pace,373,M,Gabriel Macht,613,M
Hideaway (1995),Brett (I) Leonard,5.3,5181,1995,Fantasy,12201255,15000000,106,Alicia Silverstone,552,F,Jeff Goldblum,1376,M,Christine Lahti,2283,F,Jeremy Sisto,2373,M,Alfred Molina,3023,M,Rae Dawn Chong,3522,F
Away We Go (2009),Sam (I) Mendes,7.1,46326,2009,Comedy,9451946,17000000,98,John Krasinski,628,M,Allison Janney,862,F,Melanie Lynskey,1123,F,Maggie Gyllenhaal,1282,F,Carmen Ejogo,2302,F,Chris Messina,2651,M
Resurrecting the Champ (2007),Rod Lurie,6.8,18564,2007,Drama,3242427,13000000,112,Samuel L. Jackson,581,M,Josh Hartnett,602,M,Teri Hatcher,1074,F,Alan Alda,2877,M,Dakota Goyo,3479,M,Peter Coyote,4448,M
Exodus: Gods and Kings (2014),Ridley Scott,6.1,131253,2014,Action,268175631,140000000,142,Christian Bale,247,M,Joel Edgerton,392,M,Aaron Paul,509,M,Sigourney Weaver,580,F,Ben Mendelsohn,1077,M,Ewen Bremner,1405,M
We Bought a Zoo (2011),Cameron (I) Crowe,7.1,112638,2011,Comedy,120081841,50000000,124,Scarlett Johansson,89,F,Elle Fanning,250,F,Matt Damon,268,M,Thomas Haden Church,1103,M,Stephanie Szostak,2718,F,Patrick Fugit,2840,M
The Bad Lieutenant: Port of Call - New Orleans (2009),Werner Herzog,6.7,65527,2009,Crime,1697956,20000000,122,Val Kilmer,132,M,Nicolas Cage,203,M,Fairuza Balk,418,F,Brad Dourif,730,M,Michael Shannon,1076,M,Eva Mendes,1211,F
The Couch Trip (1988),Michael (I) Ritchie,5.7,3787,1988,Comedy,11005304,19000000,97,Dan Aykroyd,1699,M,Chevy Chase,1931,M,Michael DeLorenzo,3967,M,Walter Matthau,4274,M,Charles Grodin,4924,M,Don Stark,5500,M
The Hunchback of Notre Dame (1996),Gary Trousdale,6.9,105144,1996,Animation,325338851,100000000,87,Demi Moore,846,F,Kevin Kline,1473,M,David Ogden Stiers,2638,M,Jim Cummings,2912,M,Tom Hulce,3059,M,Frank Welker,4150,M
Hero (1992/I),Stephen Frears,6.5,17830,1992,Comedy,66807345,42000000,119,Geena Davis,502,F,Joan Cusack,519,F,Martin Starr,952,M,Fisher Stevens,1209,M,Edward Herrmann,1443,M,Andy Garcia,1798,M
The Grey Zone (2001),Tim Blake Nelson,7.1,8755,2001,Drama,517872,5000000,108,Michael Stuhlbarg,1023,M,Natasha Lyonne,1347,F,Steve Buscemi,1362,M,Mira Sorvino,1768,F,Harvey Keitel,2244,M,David Arquette,2524,M
The Hateful Eight (2015),Quentin Tarantino,7.9,294409,2015,Crime,155717122,44000000,187,Quentin Tarantino,148,M,Channing Tatum,534,M,Samuel L. Jackson,581,M,Kurt Russell,686,M,Jennifer Jason Leigh,705,F,Walton Goggins,1406,M
Madea Goes to Jail (2009),Tyler (I) Perry,4.2,9660,2009,Comedy,90485233,17500000,103,Tyler Perry,586,M,Vanessa Ferlito,1301,F,Whoopi Goldberg,2416,F,Derek Luke,6590,M,Keshia Knight Pulliam,6662,F,Aisha Hinds,8919,F
Dead Man Down (2013),Niels Arden Oplev,6.5,54810,2013,Action,10880926,30000000,118,Colin Farrell,427,M,Noomi Rapace,483,F,Dominic Cooper,1167,M,Isabelle Huppert,1506,F,Terrence Howard,3300,M,F. Murray Abraham,3937,M
Thank You for Smoking (2005),Jason Reitman,7.6,193531,2005,Comedy,24792061,6500000,92,Maria Bello,312,F,Sam Elliott,532,M,J.K. Simmons,810,M,Rob Lowe,880,M,William H. Macy,1016,M,Aaron Eckhart,1046,M
Running Scared (2006),Wayne (I) Kramer,7.4,89162,2006,Action,6855137,17000000,122,Michael Cudlitz,185,M,Vera Farmiga,340,F,Paul Walker,1286,M,Ivana Milicevic,1309,F,John Noble,4504,M,Cameron Bright,5137,M
Hook (1991),Steven Spielberg,6.7,185470,1991,Adventure,300854823,70000000,142,Robin Williams,795,M,Gwyneth Paltrow,1150,F,Dustin Hoffman,1854,M,Glenn Close,2038,F,George Lucas,2984,M,Dante Basco,4221,M
Naqoyqatsi (2002),Godfrey Reggio,6.7,4237,2002,Documentary,155640,3000000,89,Marlon Brando,809,M,Julia Louis-Dreyfus,1871,F,Madonna,1973,F,Steven Soderbergh,3809,M,Ronald Reagan,4241,M,Bill Clinton,9267,M
A Knight's Tale (2001),Brian Helgeland,6.9,138839,2001,Action,117487473,65000000,144,Heath Ledger,435,M,Rufus Sewell,617,M,Paul Bettany,1051,M,Shannyn Sossamon,1180,F,Alan Tudyk,1256,M,James Purefoy,2162,M
The Players Club (1998),Ice Cube,5.6,4396,1998,Comedy,23031390,4500000,90,Michael Clarke Duncan,1632,M,Ice Cube,1833,M,Jamie Foxx,2048,M,Charlie Murphy,2657,M,Terrence Howard,3300,M,John Amos,3392,M
The Iron Giant (1999),Brad (I) Bird,8,130944,1999,Action,80000000,70000000,90,Jennifer Aniston,177,F,Vin Diesel,206,M,Cloris Leachman,1750,F,Harry Connick Jr.,2460,M,John Mahoney,4580,M,Christopher McDonald,4682,M
Littleman (2006),Keenen Ivory Wayans,4.3,40045,2006,Comedy,101595121,64000000,98,Rob Schneider,1691,M,John DeSantis,1825,M,Lochlyn Munro,2121,M,Marlon Wayans,2697,M,Alex Borstein,3442,F,Dave Sheridan,5073,M
30 Beats (2012),Alexis (I) Lloyd,4.1,764,2012,Comedy,14686,1000000,88,Lee Pace,373,M,Jennifer Tilly,840,F,Paz de la Huerta,2609,F,Thomas Sadoski,3956,M,Justin Kirk,5557,M,Condola Rashad,7969,F
J. Edgar (2011),Clint Eastwood,6.6,104214,2011,Biography,84606030,35000000,137,Leonardo DiCaprio,38,M,Dermot Mulroney,189,M,Naomi Watts,423,F,Adam Driver,593,M,Kaitlyn Dever,597,F,Armie Hammer,761,M
Eight Legged Freaks (2002),Ellory Elkayem,5.4,44329,2002,Action,45867333,30000000,99,Scarlett Johansson,89,F,Matt Czuchry,490,M,Riley Smith,1119,M,Kari Wuhrer,1915,F,Leon Rippy,2075,M,David Arquette,2524,M
The Master of Disguise (2002),Perry Andelin Blake,3.3,18393,2002,Adventure,40363530,16000000,80,James Brolin,1304,M,Jennifer Esposito,1325,F,Cole Sprouse,1624,M,Brent Spiner,1867,M,Dana Carvey,1991,M,Bo Derek,2080,F
The Milagro Beanfield War (1988),Robert (I) Redford,6.9,5084,1988,Comedy,13825794,22000000,117,Christopher Walken,1128,M,Sonia Braga,3680,F,Daniel Stern,3752,M,John Heard,4861,M,James Gammon,5858,M,M. Emmet Walsh,6257,M
Manhunter (1986),Michael (I) Mann,7.2,50766,1986,Crime,8620929,15000000,85,Stephen Lang,454,M,Brian Cox,2210,M,Frankie Faison,4024,M,Chris Elliott,4191,M,Garcelle Beauvais,4692,F,Tom Noonan,4779,M
Exit to Eden (1994),Garry (I) Marshall,4.1,5631,1994,Comedy,6841570,25000000,113,Dan Aykroyd,1699,M,Garry Marshall,1910,M,Dana Delany,1927,F,Bonnie Aarons,2271,F,Laura Harring,2754,F,Hector Elizondo,3963,M
Sleepless in Seattle (1993),Nora Ephron,6.8,124294,1993,Comedy,227900000,21000000,93,Tom Hanks,68,M,Matt Smith,360,M,Bill Pullman,1220,M,Frances Conroy,1627,F,Victor Garber,2593,M,Rob Reiner,3053,M
Shallow Grave (1994),Danny Boyle,7.4,46224,1994,Crime,20500000,2500000,89,Ewan McGregor,141,M,Peter Mullan,2087,M,Christopher Eccleston,2328,M,Tony Curran,3367,M,Gary Lewis,5541,M,Keith Allen,6427,M
The Blind Side (2009),John Lee Hancock,7.7,227224,2009,Biography,309208309,29000000,129,Sandra Bullock,396,F,Tim McGraw,1837,M,Ray McKinnon,3768,M,Irone Singleton,6565,M,Jae Head,7105,M,Joe Chrest,8987,M
Robin Hood: Men in Tights (1993),Mel (I) Brooks,6.7,92433,1993,Adventure,35739755,20000000,104,Cary Elwes,1002,M,Patrick Stewart,1165,M,Mel Brooks,1729,M,Amy Yasbeck,1801,F,Danny McBride,1939,M,Dave Chappelle,2696,M
Analyze This (1999),Harold Ramis,6.7,125214,1999,Comedy,176885658,80000000,109,Robert De Niro,300,M,Lisa Kudrow,1324,F,Billy Crystal,2965,M,Max Casella,5546,M,Chazz Palminteri,5737,M,Leo Rossi,6104,M
Born on the Fourth of July (1989),Oliver (I) Stone,7.2,77999,1989,Biography,161001698,14000000,145,Tom Cruise,49,M,Michael Wincott,522,M,John C. McGinley,599,M,Holly Marie Combs,1174,F,Willem Dafoe,1564,M,Vivica A. Fox,1689,F
True Romance (1993),Tony (I) Scott,8,165655,1993,Crime,12281500,13000000,121,Brad Pitt,91,M,Val Kilmer,132,M,Gary Oldman,429,M,Samuel L. Jackson,581,M,Christian Slater,753,M,Christopher Walken,1128,M
Phone Booth (2002),Joel Schumacher,7.1,211087,2002,Crime,97837138,13000000,81,Ben Foster,134,M,Colin Farrell,427,M,Kiefer Sutherland,624,M,Radha Mitchell,1638,F,Forest Whitaker,1800,M,Richard T. Jones,6381,M
Freddy's Dead: The Final Nightmare (1991),Rachel Talalay,4.9,31413,1991,Comedy,34872033,11000000,93,Johnny Depp,28,M,Roseanne Barr,511,F,Robert Englund,1234,M,Breckin Meyer,3755,M,Tom Arnold,5351,M,Elinor Donahue,6414,F
Tower Heist (2011),Brett Ratner,6.2,111366,2011,Action,152930623,75000000,104,Eddie Murphy,721,M,Casey Affleck,858,M,Ben Stiller,963,M,Matthew Broderick,1713,M,Nina Arianda,1828,F,Gabourey Sidibe,2004,F
Intermission (2003),John (III) Crowley,6.9,13744,2003,Comedy,4856298,5000000,102,Cillian Murphy,172,M,Colin Farrell,427,M,Kerry Condon,2486,F,Conleth Hill,3898,M,Colm Meaney,4546,M,Michael McElhatton,7218,M
Adaptation. (2002),Spike Jonze,7.7,145136,2002,Comedy,22245861,19000000,81,Tilda Swinton,14,F,Nicolas Cage,203,M,Doug Jones,426,M,Meryl Streep,578,F,John Cusack,619,M,Judy Greer,1242,F
Hate Crime (2005),Tommy Stovall,6.4,1096,2005,Crime,40758,500000,103,Lin Shaye,1938,F,Giancarlo Esposito,1960,M,Brian J. Smith,5488,M,Bruce Davison,6207,M,Chad Donella,7530,M,Susan Blakely,7553,F
Crash (2004/I),Paul Haggis,7.9,364811,2004,Crime,98410061,6500000,112,Thandie Newton,60,F,Sandra Bullock,396,F,William Fichtner,861,M,Brendan Fraser,980,M,Ryan Phillippe,1184,M,Jennifer Esposito,1325,F
From Paris with Love (2010),Pierre (I) Morel,6.5,98737,2010,Action,52826594,52000000,92,John Travolta,644,M,Jonathan Rhys Meyers,766,M,Kelly Preston,1203,F,Amber Rose Revah,5417,F,Alaa Safi,7684,M,Kasia Smutniak,8770,F
Saw III (2006),Darren Lynn Bousman,6.2,144310,2006,Horror,164874275,10000000,121,Dina Meyer,1087,F,Shawnee Smith,1279,F,Donnie Wahlberg,2442,M,Tobin Bell,3011,M,Betsy Russell,3037,F,Debra McCabe,3271,F
The Hollars (2016),John Krasinski,6.1,982,2016,Comedy,706484,3800000,88,Mary Elizabeth Winstead,154,F,John Krasinski,628,M,Sharlto Copley,1892,M,Charlie Day,2630,M,Richard Jenkins,3872,M,Margo Martindale,4081,F
Jaws: The Revenge (1987),Joseph (I) Sargent,2.9,31449,1987,Adventure,51881013,23000000,92,Michael Caine,1633,M,Elden Henson,2305,M,Lance Guest,2467,M,Roy Scheider,4297,M,Tina Lifford,6341,F,Mario Van Peebles,7304,M
Norm of the North (2016),Trevor (I) Wall,3.7,5087,2016,Adventure,17017118,18000000,90,Janet Varney,157,F,Bill Nighy,1586,M,Rob Schneider,1691,M,James Corden,1865,M,Zachary Gordon,3325,M,Ken Jeong,3842,M
Just My Luck (2006),Donald (I) Petrie,5.3,44723,2006,Comedy,17324744,28000000,103,Chris Pine,108,M,Samaire Armstrong,255,F,Lindsay Lohan,508,F,Missi Pyle,990,F,Bree Turner,2832,F,Kayla Ewell,3316,F
Made in Dagenham (2010),Nigel (I) Cole,7.2,11316,2010,Biography,1094798,7200000,113,Rosamund Pike,72,F,Andrew Lincoln,123,M,Andrea Riseborough,1416,F,Danny Huston,2226,M,Robbie Kay,3261,M,Richard Schiff,4726,M
Gracie (2007),Davis Guggenheim,6.2,3655,2007,Biography,3036736,9000000,95,Dermot Mulroney,189,M,Elisabeth Shue,635,F,Jesse Lee Soffer,4141,M,Carly Schroeder,6790,F,John Doman,7115,M,Andrew Shue,9177,M
The Perfect Holiday (2007),Lance Rivera,4.3,2468,2007,Comedy,5809663,20000000,96,Gabrielle Union,568,F,Queen Latifah,1483,F,Charlie Murphy,2657,M,Morris Chestnut,2834,M,Terrence Howard,3300,M,Rachel True,4071,F
The Chamber (1996),James (I) Foley,5.9,10601,1996,Crime,22540359,50000000,113,Gene Hackman,1519,M,Faye Dunaway,1774,F,Chris O'Donnell,2103,M,Jane Kaczmarek,4904,F,Raymond J. Barry,5946,M,Lela Rochon,7007,F
Zathura: A Space Adventure (2005),Jon (I) Favreau,6.1,69049,2005,Action,64321501,65000000,101,Josh Hutcherson,1049,M,Tim Robbins,1970,M,Derek Mears,2115,M,Dax Shepard,2366,M,Frank Oz,4329,M,Bill Fagerbakke,5143,M
Brideshead Revisited (2008),Julian Jarrold,6.7,10146,2008,Drama,6414563,20000000,133,Hayley Atwell,65,F,Matthew Goode,857,M,Michael Gambon,1352,M,Ben Whishaw,1569,M,Tom Wlaschiha,2996,M,Greta Scacchi,4872,F
Hannibal (2001),Ridley Scott,6.8,210809,2001,Crime,351692268,87000000,131,Anthony Hopkins,266,M,Gary Oldman,429,M,Julianne Moore,818,F,Ray Liotta,2118,M,Frankie Faison,4024,M,Zeljko Ivanek,4411,M
Belle (2013),Amma Asante,7.4,20697,2013,Biography,16538759,10900000,104,Gugu Mbatha-Raw,90,F,Tom Felton,223,M,Sarah Gadon,295,F,Matthew Goode,857,M,James Norton,1170,M,Tom Wilkinson,3909,M
Serenity (2005),Joss Whedon,8,245352,2005,Action,38869464,40000000,119,Morena Baccarin,48,F,Chiwetel Ejiofor,183,M,Sarah Paulson,294,F,David Krumholtz,595,M,Summer Glau,620,F,Jewel Staite,829,F
Blood Diamond (2006),Edward Zwick,8,406946,2006,Adventure,171407179,100000000,143,Leonardo DiCaprio,38,M,Jennifer Connelly,229,F,Michael Sheen,770,M,Djimon Hounsou,2067,M,David Harewood,2423,M,Arnold Vosloo,5044,M
In the Valley of Elah (2007),Paul Haggis,7.2,60849,2007,Crime,29527293,23000000,121,James Franco,192,M,Charlize Theron,253,F,Susan Sarandon,524,F,Josh Brolin,856,M,Jason Patric,1414,M,Tommy Lee Jones,1444,M
Naked Lunch (1991),David Cronenberg,7.1,36528,1991,Drama,2541541,16000000,115,Peter Weller,2833,M,Roy Scheider,4297,M,Ian Holm,4786,M,Julian Sands,5058,M,Julian Richings,5556,M,Louis Ferreira,8137,M
Bobby Jones: Stroke of Genius (2004),Rowdy Herrington,6.7,3250,2004,Biography,2694071,20000000,128,Matt Lanter,221,M,Claire Forlani,654,F,Jim Caviezel,979,M,Malcolm McDowell,1548,M,Jeremy Northam,1720,M,Aidan Quinn,1958,M
The Simpsons Movie (2007),David (I) Silverman,7.4,262198,2007,Adventure,526745137,75000000,87,Tom Hanks,68,M,Albert Brooks,1625,M,Hank Azaria,2882,M,Dan Castellaneta,3285,M,Marcia Wallace,4322,F,Joe Mantegna,4579,M
The Sentinel (2006),Clark (I) Johnson,6.1,42401,2006,Action,78084827,60000000,108,Kiefer Sutherland,624,M,Kim Basinger,923,F,Michael Douglas,1228,M,Eva Longoria,2405,F,Gloria Reuben,3845,F,Kristin Lehman,5232,F
Spy Kids (2001),Robert (I) Rodriguez,5.4,85529,2001,Action,147934180,35000000,88,Carla Gugino,473,F,George Clooney,682,M,Alexa PenaVega,738,F,Danny Trejo,851,M,Teri Hatcher,1074,F,Robert Patrick,1294,M
Deuce Bigalow: European Gigolo (2005),Mike Bigelow,4.6,41628,2005,Comedy,22264487,22000000,83,Adam Sandler,400,M,Rob Schneider,1691,M,Oded Fehr,2015,M,Miranda Raison,2892,F,Kelly Brook,3124,F,Til Schweiger,3653,M
Face/Off (1997),John (I) Woo,7.3,287557,1997,Action,245676146,80000000,138,Nicolas Cage,203,M,John Travolta,644,M,Thomas Jane,1284,M,Danny Masterson,1326,M,Tommy Flanagan,1500,M,Matt Ross,1577,M
Love Affair (1994),Glenn Gordon Caron,5.9,3793,1994,Comedy,18250211,60000000,108,Kate Capshaw,155,F,Harold Ramis,691,M,Pierce Brosnan,752,M,Warren Beatty,1084,M,Annette Bening,1297,F,Katharine Hepburn,2807,F
Chain Letter (2009),Deon Taylor,4.1,4196,2009,Horror,143000,5000000,88,Brad Dourif,730,M,Bai Ling,1637,F,Keith David,2222,M,Brian Tee,2799,M,Betsy Russell,3037,F,Cherilyn Wilson,3831,F
Hatchet II (2010),Adam (VI) Green,5.5,9538,2010,Comedy,62000,800000,85,Tom Holland,538,M,Mercedes McNab,1403,F,Shawn Ashmore,1481,M,Kane Hodder,1629,M,Tony Todd,3187,M,Colton Dunn,3373,M
Hummingbird (2013/I),Steven (I) Knight,6.2,52802,2013,Action,34956,20000000,90,Benedict Wong,150,M,Jason Statham,288,M,David Bradley,2395,M,Vicky McClure,6462,F,Agata Buzek,6947,F,Danny Webb,8845,M
The Quick and the Dead (1995),Sam Raimi,6.4,70140,1995,Action,18636537,32000000,107,Leonardo DiCaprio,38,M,Russell Crowe,633,M,Bruce Campbell,700,M,Gene Hackman,1519,M,Keith David,2222,M,Gary Sinise,2720,M
The Neon Demon (2016),Nicolas Winding Refn,6.4,29164,2016,Horror,1333124,7000000,118,Keanu Reeves,169,M,Christina Hendricks,235,F,Elle Fanning,250,F,Bella Heathcote,434,F,Jena Malone,496,F,Abbey Lee,1020,F
The First $20 Million Is Always the Hardest (2002),Mick (I) Jackson,5.6,2798,2002,Comedy,2535,17000000,105,Rosario Dawson,354,F,Ethan Suplee,1024,M,Adam Garcia,3100,M,Jake Busey,3676,M,Rob Benedict,4839,M,Enrico Colantoni,6121,M
Must Love Dogs (2005),Gary David Goldberg,5.9,26201,2005,Comedy,43894863,30000000,98,Dermot Mulroney,189,M,John Cusack,619,M,Julie Gonzalo,1769,F,Christopher Plummer,1860,M,Stockard Channing,2242,F,Colin Egglesfield,2731,M
Vatel (2000),Roland Joffé,6.6,6361,2000,Biography,49464,36000000,125,Uma Thurman,822,F,Tim Roth,1527,M,Nick Robinson,2107,M,Timothy Spall,2654,M,Richard Griffiths,3209,M,Julian Glover,4733,M
Bee Season (2005),Scott McGehee,5.5,6029,2005,Drama,4432349,14000000,104,Kate Bosworth,1298,F,Richard Gere,1368,M,Juliette Binoche,2204,F,Jonathan Tucker,3049,M,Max Minghella,6067,M,Ben Johnson,7672,M
Sleepwalkers (1992),Mick Garris,5.1,15143,1992,Horror,30524763,15000000,91,Ron Perlman,693,M,Mark Hamill,763,M,Stephen King,1232,M,Alice Krige,3593,F,Brian Krause,3636,M,John Landis,4042,M
The Purge: Anarchy (2014),James DeMonaco,6.5,98959,2014,Action,110602999,9000000,103,Frank Grillo,962,M,Keith Stanfield,1041,M,Michael Kenneth Williams,1967,M,Carmen Ejogo,2302,F,Kiele Sanchez,2675,F,Zach Gilford,3255,M
Interview with the Vampire: The Vampire Chronicles (1994),Neil (I) Jordan,7.6,243263,1994,Drama,223664608,60000000,123,Tom Cruise,49,M,Thandie Newton,60,F,Brad Pitt,91,M,Kirsten Dunst,444,F,Christian Slater,753,M,Helen McCrory,1044,F
Loaded Weapon 1 (1993),Gene Quintano,6.1,37985,1993,Action,27979400,8200000,84,Tim Curry,85,M,Bruce Willis,377,M,Samuel L. Jackson,581,M,Charlie Sheen,995,M,Corey Feldman,1238,M,Danielle Nicolet,1601,F
Enough Said (2013),Nicole Holofcener,7.1,49977,2013,Comedy,17292841,8000000,93,Toni Collette,213,F,Eve Hewson,1531,F,Julia Louis-Dreyfus,1871,F,Catherine Keener,1925,F,Amy Landecker,2346,F,James Gandolfini,2398,M
Poltergeist (2015),Gil (I) Kenan,5,43348,2015,Horror,36410582,35000000,101,Sam Rockwell,323,M,Jared Harris,675,M,Saxon Sharbino,1300,F,Rosemarie DeWitt,1504,F,Nicholas Braun,2846,M,Kennedi Clements,5155,F
Seeking a Friend for the End of the World (2012),Lorene Scafaria,6.7,89285,2012,Adventure,6619173,10000000,101,Keira Knightley,271,F,T.J. Miller,1045,M,Steve Carell,1072,M,Melanie Lynskey,1123,F,Gillian Jacobs,1359,F,Adam Brody,1532,M
Crazy Eyes (2012),Adam (I) Sherman,4,458,2012,Comedy,6106,10000000,95,Tania Raymonde,178,F,Madeline Zima,1030,F,Moran Atias,2872,F,Lukas Haas,3007,M,Jake Busey,3676,M,Ray Wise,4505,M
How to Train Your Dragon (2010),Dean DeBlois,8.2,496234,2010,Action,494878759,165000000,98,Kristen Wiig,126,F,Gerard Butler,391,M,David Tennant,643,M,Jonah Hill,665,M,Christopher Mintz-Plasse,964,M,T.J. Miller,1045,M
Turbo (2013),David (I) Soren,6.5,63386,2013,Adventure,282570682,135000000,96,Ryan Reynolds,87,M,Samuel L. Jackson,581,M,Bill Hader,1357,M,Paul Giamatti,2079,M,Chris Parnell,3121,M,Ken Jeong,3842,M
28 Weeks Later (2007),Juan Carlos Fresnadillo,7,215139,2007,Drama,64238440,15000000,100,Idris Elba,104,M,Imogen Poots,284,F,Rose Byrne,306,F,Robert Carlyle,397,M,Jeremy Renner,562,M,Harold Perrineau,2584,M
Memphis Belle (1990),Michael Caton-Jones,6.9,23098,1990,Action,27441977,23000000,107,John Lithgow,872,M,Matthew Modine,1378,M,Courtney Gains,2278,M,Harry Connick Jr.,2460,M,David Strathairn,3520,M,Tate Donovan,4231,M
Black Hawk Down (2001),Ridley Scott,7.7,296662,2001,Drama,172989651,92000000,152,Tom Hardy,15,M,Ewan McGregor,141,M,Josh Hartnett,602,M,Nikolaj Coster-Waldau,677,M,William Fichtner,861,M,Orlando Bloom,1057,M
Get the Gringo (2012),Adrian Grunberg,7,87865,2012,Action,22803467,20000000,96,Mel Gibson,29,M,Peter Stormare,1137,M,Dean Norris,2629,M,Scott Cohen,3502,M,Suzanne Cryer,4975,F,Bob Gunton,6251,M
Gods and Generals (2003),Ron (III) Maxwell,6.3,13337,2003,Drama,12870569,56000000,280,Stephen Lang,454,M,Mira Sorvino,1768,F,Robert Duvall,1985,M,Kali Rocha,2006,F,C. Thomas Howell,2101,M,Billy Campbell,2767,M
Bordello of Blood (1996),Gilbert (I) Adler,5.3,10774,1996,Comedy,5587855,13000000,72,Chris Sarandon,674,M,Erika Eleniak,883,F,Corey Feldman,1238,M,Whoopi Goldberg,2416,F,William Sadler,3966,M,Angie Everhart,6147,F
Maniac Cop 2 (1990),William Lustig,5.8,4267,1990,Action,653859,4000000,90,Bruce Campbell,700,M,Danny Trejo,851,M,Sam Raimi,1711,M,Claudia Christian,3850,F,Robert Davi,5233,M,Leo Rossi,6104,M
The Human Stain (2003),Robert (I) Benton,6.3,25761,2003,Drama,24863804,30000000,106,Ed Harris,256,M,Anthony Hopkins,266,M,Wentworth Miller,371,M,Nicole Kidman,415,F,Jacinda Barrett,1497,F,Gary Sinise,2720,M
Looper (2012),Rian Johnson,7.4,435609,2012,Action,176506819,30000000,119,Piper Perabo,21,F,Emily Blunt,42,F,Joseph Gordon-Levitt,342,M,Bruce Willis,377,M,Paul Dano,830,M,Garret Dillahunt,1387,M
